pdf_path,extracted_text
1526439.pdf,"Based on the provided text, here is the extracted key information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
| :--- | :--- | :--- | :--- | :--- |
| Aniak, Alaska | 1. Improve building condition.<br>2. Decrease energy use.<br>3. Develop a thorough and complete project plan for retrofits.<br>4. Showcase project objectives and results to the community. | 1. Survey buildings (layout, insulation, system condition, safety).<br>2. Conduct building energy audits using AkWarm-C software.<br>3. Develop an Energy Action Plan (draft, present, revise, finalize).<br>4. Develop a data monitoring plan.<br>5. Collect baseline data (energy use, condition, comfort).<br>6. Create a monthly maintenance checklist.<br>7. Identify financing options for retrofits.<br>8. Conduct outreach activities. | • Cold Climate Housing Research Center (CCHRC)<br>• Energy Audits of Alaska<br>• Aniak Traditional Council / The Tribe<br>• Building staff / occupants<br>• Tribal finance director<br>• Tribal maintenance manager<br>• Community members | N/A |"
1526994.pdf,"Based on the provided document text, here is the extracted key information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
|----------|-----------------|-------------|--------------|----------|
| Kwigillingok | 1. Improve building condition. <br> 2. Decrease energy use. <br> 3. Facilitate future energy reduction projects. | 1. Survey buildings (layout, insulation, occupancy, system condition). <br> 2. Conduct building energy audits using AkWarm-C software. <br> 3. Collect and monitor baseline data (fuel oil, electricity, occupant comfort, building condition). <br> 4. Identify and analyze potential retrofit options. <br> 5. Develop maintenance plans and seek funding/training opportunities. | 1. Tribal finance officer (data oversight). <br> 2. Project staff/CCHRC staff. <br> 3. Energy auditor. <br> 4. I.R.A. Council. <br> 5. Building occupants. <br> 6. Maintenance personnel. | N/A |"
1527001.pdf,"Based on the provided text, here is the extracted information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
| :--- | :--- | :--- | :--- | :--- |
| N/A | Showcase the objective and results of the project to community members, Alaskans, and others. | Conduct outreach activities; store project documents (flyers, scope of work, audit summaries) in appendices. | Community members, Alaskans, others | N/A |
| Tribal office file cabinet; CCHRC server/website | Store project data for reference and future use. | Store hard copies of fuel/electrical data; store building condition/occupant comfort data (if collected); store baseline data on CCHRC server and website. | The Tribe, Tribal administrator, Cold Climate Housing Research Center (CCHRC) | N/A |
| Police station; ATC shop | Perform regular building maintenance and inspections. | **Police Station:** Check/configure thermostat; create heating parts list; ensure lighting is operational/LED; check office equipment plug loads; inspect exterior for damage; check smoke/CO detectors. **ATC Shop:** Monthly visual exterior inspection; document damage. | Police station staff, ATC shop staff | Monthly (for ATC shop exterior inspection) |
| N/A | Develop a strong project plan for funding applications. | Use audit info to define scope, finances, timeline, personnel; identify risks/mitigation strategies; reach out to other communities for advice. | Project applicants, other communities | N/A |
| N/A | Plan and initiate the energy audit project. | Hold kickoff meeting to decide metrics; develop data monitoring plan (collection, storage, access, analysis); collect baseline data (energy use, occupant comfort). | Council, Project staff, Tribal office staff, Building occupants | N/A |
| N/A | Address key questions for project planning. | Identify local retrofit contractors; determine retrofit financing options; obtain historical energy use data (2016, 2017); decide on building monitoring methods (bills, surveys, devices). | Native Village of Atmautluak, CCHRC | N/A |
| N/A | Complete the Energy Action Plan. | 1. Initial project meeting.<br>2. Collect baseline data.<br>3. Write data monitoring plan.<br>4. Complete on-site building assessments.<br>5. Prepare draft plan.<br>6. Present draft for feedback.<br>7. Revise and finalize plan.<br>8. Provide final plan to Tribe. | CCHRC, Energy Audits of Alaska, The Tribe, Building staff | N/A |
| N/A | Identify funding and training opportunities for retrofits. | Provide a comprehensive, color-coded table of grants, loans, scholarships, and technical assistance from various agencies (e.g., DOE, USDA, BIA, AHFC). | Applicants, Alaska Native Health Consortium, Alaska Village Electric Cooperative, etc. | At time of publication (2019) |
| Post office/Gaming hall building | Address energy audit recommendations, including a safety issue. | Investigate a 35% increase in electric [use/cost - text incomplete]. | Post office staff, Gaming hall staff | As soon as possible (for safety issue) |"
1527003.pdf,"Based on the provided document text, here is the extracted key information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
|----------|-----------------|-------------|--------------|----------|
| Akiachak (Tribal buildings) | 1. Conduct energy audits of tribal buildings. <br> 2. Develop an Energy Action Plan. <br> 3. Improve energy efficiency. <br> 4. Track building improvements. | 1. Meet to discuss project goals and buildings. <br> 2. Collect baseline data (fuel oil use, electrical use, occupant comfort, building condition). <br> 3. Write a data monitoring plan for each building. <br> 4. Complete on-site building assessments. <br> 5. Prepare a draft Energy Action Plan. <br> 6. Present draft plan and gather feedback. <br> 7. Revise and finalize the plan. <br> 8. Provide final plan to the Tribe. <br> 9. Store data (hard copies in tribal office, project folder on CCHRC server). | Cold Climate Housing Research Center (CCHRC), Energy Audits of Alaska, Akiachak Native Community (Tribe, tribal finance director, building staff) | N/A |"
