Problem,Research Gap,Methodology,Key Results,source_doc
Measuring playful activities and their relationship with physical activity in public open spaces is difficult; few studies use movement trajectories to measure play.,Few studies have been conducted to measure play because it is not easy to distinguish from other behaviours; existing studies do not fully leverage trajectories to classify playful movement and link it to site features and physical activity.,"Computer vision to generate pedestrian trajectories from video data; trajectory classification using indicators (detour ratio, bounding box area, long-to-short edge ratio, length, duration); multinomial logistic regression to relate trajectory types to interaction with site features; physical activity estimation (MET-minutes) based on movement speed.","Four trajectory types identified (Playful, Strolling, Sporty, Passive); interaction with specific site features (heart-shaped seating, bench, pavilion) significantly associated with different trajectory types compared to the passive group; different trajectory types exhibited significant differences in the amount and intensity of physical activity.",1-s2.0-S1353829223001867-main.pdf
"Vision-based monitoring of social distancing and critical density for COVID-19; Need for robust people detection in crowded, real-world scenarios with occlusions.",How to define appropriate averaging weights and coefficients for long-term crowd risk maps; Need for further study on normalizing maps over time.,"Proposed a YOLO-based object detection model fine-tuned on human categories from Google Open Images; Algorithm for tracking, red-zone prediction, and generating 2D/3D crowd risk maps; Evaluated on the Oxford Town Centre (OTC) dataset.","System successfully identified crowded zones with social distancing breaches; Demonstrated feasibility of monitoring and risk assessment with high confidence and accuracy; Model performance compared against state-of-the-art methods using Precision, Recall, and FPS metrics.",DeepSOCIAL.pdf
Achieving high speed and accuracy in generic object detection.,Improving the speed and accuracy of existing object detection frameworks.,"Incremental improvements to the YOLO architecture (YOLOv2, YOLOv3, YOLOv4); Unified, real-time detection framework.","Series of models (YOLO, YOLOv2, YOLOv3, YOLOv4) that are better, faster, and stronger than previous iterations.",DeepSOCIAL.pdf
Accurate object detection and semantic segmentation.,Improving feature extraction for detection and segmentation tasks.,Region-based Convolutional Neural Network (R-CNN); Rich feature hierarchies.,Pioneering two-stage object detection method (R-CNN).,DeepSOCIAL.pdf
Speeding up the region-based object detection process.,Reducing the computational bottleneck of multi-stage pipelines.,Fast R-CNN; Single-stage training that jointly learns to classify object proposals and refine their spatial locations.,Improved speed and accuracy over R-CNN.,DeepSOCIAL.pdf
Achieving real-time object detection with region proposals.,Eliminating the computational cost of external region proposal methods.,Faster R-CNN; Introduces a Region Proposal Network (RPN) that shares full-image convolutional features with the detection network.,"Enables real-time object detection with a unified, neural network-based system.",DeepSOCIAL.pdf
Single-shot object detection for speed.,Balancing speed and accuracy in a single forward pass of the network.,SSD: Single Shot MultiBox Detector; Uses a single deep neural network to predict bounding boxes and object categories.,High accuracy and superior speed compared to methods that require object proposals.,DeepSOCIAL.pdf
Handling class imbalance in dense object detection.,Addressing the foreground-background class imbalance problem in one-stage detectors.,RetinaNet; Introduces Focal Loss to focus training on hard examples.,Achieves accuracy of state-of-the-art two-stage detectors while maintaining high speed.,DeepSOCIAL.pdf
Automating the monitoring of social distancing in public spaces via real-time human detection and tracking.,"The need for an efficient, real-time framework that balances detection accuracy with computational speed for practical deployment; Addressing privacy concerns and false positives in a public monitoring system.","A deep learning framework using fine-tuned object detection models (Faster RCNN, SSD, YOLO v3) on a custom dataset from Open Images and Oxford Town Center footage; A tracking module using a combination of Mahalanobis distance and cosine appearance metrics; A novel ""violation index"" (ratio of people to social groups) to quantify distancing breaches.","Inception v2 was identified as the most efficient backbone for Faster RCNN/SSD due to its high accuracy-to-parameters ratio; The fine-tuned models were used to detect and track individuals, forming social groups based on a 3D feature space (x, y, depth); The framework successfully visualized violations in real-time with color-coded groups and a statistical violation index.",Monitoring COVID-19 social distancing.pdf
Quantifying vitality in small public spaces is challenging.,Existing methods for large-scale spaces have low data accuracy and are not systematic or complete for small public spaces.,"A computer vision-based framework to extract human trajectories from videos and calculate quantitative indicators (number of people, duration of stay, motion speed, trajectory diversity, trajectory complexity); Stepwise multiple linear regression to model the relationship between indicators and expert-rated overall vitality.","A significant multiple linear regression model was constructed (N=48, R²=.781, Sig. = .000); Number of people, duration of stay, trajectory diversity, and trajectory complexity were significant predictors of overall vitality (Sig. < 0.05); Motion speed was not a significant predictor in the final model.",Small public space vitality analysis and evaluation.pdf
